Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.1818724879757737
CL0,Age,-0.07854,0.13412125662121283
CL0,Age,0.49788000000000004,0.10180366292773055
CL0,Age,1.09449,0.07071507118419108
CL0,Age,1.82213,0.04154624890170674
CL0,Age,2.59171,0.023275189012497824
CL0,Gender,-0.48246000000000006,0.10996993045961725
CL0,Gender,0.48246000000000006,0.14907414020128185
CL0,Education,-2.43591,0.11686694408728728
CL0,Education,-1.7379,0.12114704449602215
CL0,Education,-1.43719,0.12270970724020405
CL0,Education,-1.22751,0.123687108640442
CL0,Education,-0.6111300000000001,0.12598318995907654
CL0,Education,-0.059210000000000006,0.12725761523589832
CL0,Education,0.45468000000000003,0.12774818164412494
CL0,Education,1.16365,0.12731421409616267
CL0,Education,1.98437,0.12526951196676753
CL0,Country,-0.57009,0.06229414203392759
CL0,Country,-0.46841000000000005,0.06957764942931462
CL0,Country,-0.28519,0.08425832833029609
CL0,Country,-0.09765,0.10134860520416976
CL0,Country,0.21128000000000002,0.13377381693008747
CL0,Country,0.24923,0.13808966901977682
CL0,Country,0.9608200000000001,0.22793347640998393
CL0,Ethnicity,-1.1070200000000001,0.21878914709692185
CL0,Ethnicity,-0.50212,0.15144145940541767
CL0,Ethnicity,-0.31685,0.1302376434784331
CL0,Ethnicity,-0.22166,0.1196069543284632
CL0,Ethnicity,0.1144,0.08488845879458104
CL0,Ethnicity,0.126,0.08379224999025758
CL0,Ethnicity,1.90725,0.006514328700298393
CL0,Nscore,-3.4643599999999997,0.3438597325027662
CL0,Nscore,-3.15735,0.3263214386927882
CL0,Nscore,-2.75696,0.30253707163244054
CL0,Nscore,-2.52197,0.2882188856427415
CL0,Nscore,-2.4231700000000003,0.28214204046109115
CL0,Nscore,-2.3436,0.2772291662773798
CL0,Nscore,-2.21844,0.2694751648183284
CL0,Nscore,-2.05048,0.25903742212117886
CL0,Nscore,-1.86962,0.24778692541058248
CL0,Nscore,-1.69163,0.23673775445248546
CL0,Nscore,-1.5507799999999998,0.22803277479537867
CL0,Nscore,-1.43907,0.2211651183922466
CL0,Nscore,-1.32828,0.21439459685770448
CL0,Nscore,-1.1943,0.2062721384979461
CL0,Nscore,-1.05308,0.19780216039031664
CL0,Nscore,-0.92104,0.18998101534185383
CL0,Nscore,-0.79151,0.18241276587198368
CL0,Nscore,-0.67825,0.17588839673412276
CL0,Nscore,-0.58016,0.17031387748304033
CL0,Nscore,-0.46725,0.16399035308391294
CL0,Nscore,-0.34799,0.15742618047584073
CL0,Nscore,-0.24649000000000001,0.15193770639814344
CL0,Nscore,-0.14882,0.14674554517296412
CL0,Nscore,-0.051879999999999996,0.14168206203426473
CL0,Nscore,0.04257,0.13683767704818006
CL0,Nscore,0.13606,0.13213167022937436
CL0,Nscore,0.22393000000000002,0.12779150512412255
CL0,Nscore,0.31287,0.1234822002148688
CL0,Nscore,0.41667,0.11856162106832821
CL0,Nscore,0.52135,0.11372020687179266
CL0,Nscore,0.62967,0.10884047825213361
CL0,Nscore,0.73545,0.10420468131075189
CL0,Nscore,0.82562,0.10035516952418456
CL0,Nscore,0.9109299999999999,0.096800423100689
CL0,Nscore,1.02119,0.09233254612824694
CL0,Nscore,1.13281,0.08795547687087307
CL0,Nscore,1.23461,0.08409176873635389
CL0,Nscore,1.37297,0.07903655548914512
CL0,Nscore,1.49158,0.07488219420836893
CL0,Nscore,1.6038299999999999,0.07110202877507063
CL0,Nscore,1.72012,0.06733977226246789
CL0,Nscore,1.8399,0.06362657508451536
CL0,Nscore,1.98437,0.059363365353874174
CL0,Nscore,2.127,0.055381040820187466
CL0,Nscore,2.28554,0.051212210949687004
CL0,Nscore,2.4626200000000003,0.046866888873009646
CL0,Nscore,2.61139,0.04346110902829304
CL0,Nscore,2.82196,0.039006209631606045
CL0,Nscore,3.27393,0.030784797377804096
CL0,Escore,-3.27393,0.11136743225964656
CL0,Escore,-3.00537,0.11316647403755684
CL0,Escore,-2.72827,0.11496122223977771
CL0,Escore,-2.5383,0.11615076901414718
CL0,Escore,-2.44904,0.11669721507719863
CL0,Escore,-2.32338,0.11745220658818471
CL0,Escore,-2.21069,0.11811444555899542
CL0,Escore,-2.11437,0.11866891249177197
CL0,Escore,-2.03972,0.11909105808841977
CL0,Escore,-1.92173,0.11974436619699384
CL0,Escore,-1.7625,0.12059798634428248
CL0,Escore,-1.6334,0.1212655084490476
CL0,Escore,-1.50796,0.12189224299801955
CL0,Escore,-1.37639,0.12252570923355587
CL0,Escore,-1.23177,0.12319291377149884
CL0,Escore,-1.09207,0.12380764478366571
CL0,Escore,-0.9477899999999999,0.12441097375850561
CL0,Escore,-0.80615,0.12497130679269478
CL0,Escore,-0.69509,0.12538806066333877
CL0,Escore,-0.57545,0.1258143933709999
CL0,Escore,-0.43998999999999994,0.12626834875413667
CL0,Escore,-0.30033000000000004,0.12670394214432432
CL0,Escore,-0.15487,0.1271221412574925
CL0,Escore,0.0033200000000000005,0.127535353470933
CL0,Escore,0.16767,0.12791830396153317
CL0,Escore,0.32197,0.12823451651446519
CL0,Escore,0.47617,0.12850840100604327
CL0,Escore,0.63779,0.12875015529246503
CL0,Escore,0.80523,0.12895170665055633
CL0,Escore,0.9624799999999999,0.12909578525553425
CL0,Escore,1.11406,0.1291934254559354
CL0,Escore,1.2861,0.12925555996702498
CL0,Escore,1.45421,0.1292667816441045
CL0,Escore,1.58487,0.129242123544493
CL0,Escore,1.74091,0.12917495515665348
CL0,Escore,1.9388599999999998,0.12903168714918997
CL0,Escore,2.127,0.12883667282975506
CL0,Escore,2.32338,0.1285736152886724
CL0,Escore,2.57309,0.12815432345046662
CL0,Escore,2.8595,0.12756172714904906
CL0,Escore,3.00537,0.12721619437240694
CL0,Escore,3.27393,0.12650700851477278
CL0,Oscore,-3.27393,0.2783799658856561
CL0,Oscore,-2.8595,0.257302934471912
CL0,Oscore,-2.63199,0.2459327923814959
CL0,Oscore,-2.39883,0.23446331319371821
CL0,Oscore,-2.21069,0.22536171467778382
CL0,Oscore,-2.09015,0.21960907283455655
CL0,Oscore,-1.97495,0.21417234061571722
CL0,Oscore,-1.82919,0.2073832194688303
CL0,Oscore,-1.68062,0.20057155438970922
CL0,Oscore,-1.55521,0.19491066647373673
CL0,Oscore,-1.42424,0.1890890517528457
CL0,Oscore,-1.2755299999999998,0.18259449059578586
CL0,Oscore,-1.1190200000000001,0.17589635964226755
CL0,Oscore,-0.97631,0.16991492221210827
CL0,Oscore,-0.8473200000000001,0.1646145162743766
CL0,Oscore,-0.71727,0.15937440599278618
CL0,Oscore,-0.58331,0.15408754849596548
CL0,Oscore,-0.45174,0.14900597255831544
CL0,Oscore,-0.31776,0.1439456109206099
CL0,Oscore,-0.17779,0.13878332879691033
CL0,Oscore,-0.019280000000000002,0.13309177930264438
CL0,Oscore,0.14143,0.12748962771232297
CL0,Oscore,0.29338000000000003,0.12234917274252616
CL0,Oscore,0.44585,0.11734384828531175
CL0,Oscore,0.58331,0.11296210624207459
CL0,Oscore,0.7233,0.10862667811888842
CL0,Oscore,0.8830899999999999,0.10383365148393787
CL0,Oscore,1.0623799999999999,0.09865140129691431
CL0,Oscore,1.24033,0.09371004753763255
CL0,Oscore,1.43533,0.08852294925316029
CL0,Oscore,1.6565299999999998,0.08292156530101119
CL0,Oscore,1.8851099999999998,0.07744131807068828
CL0,Oscore,2.1532400000000003,0.071399732153438
CL0,Oscore,2.44904,0.06520104674511724
CL0,Oscore,2.90161,0.056613299042018964
CL0,Ascore,-3.4643599999999997,0.1039442008989182
CL0,Ascore,-3.15735,0.10621739778399493
CL0,Ascore,-3.00537,0.1073375667657312
CL0,Ascore,-2.90161,0.1081000636927875
CL0,Ascore,-2.78793,0.10893315948516201
CL0,Ascore,-2.70172,0.1095632328929515
CL0,Ascore,-2.5383,0.11075325297908907
CL0,Ascore,-2.35413,0.1120869935876091
CL0,Ascore,-2.21844,0.11306423012850561
CL0,Ascore,-2.07848,0.1140670612994139
CL0,Ascore,-1.92595,0.11515363186286043
CL0,Ascore,-1.772,0.11624323677530557
CL0,Ascore,-1.6209,0.11730537049584211
CL0,Ascore,-1.47955,0.11829209533773605
CL0,Ascore,-1.34289,0.1192394834598806
CL0,Ascore,-1.21213,0.12013965897804137
CL0,Ascore,-1.07533,0.12107456803678812
CL0,Ascore,-0.91699,0.12214762841521061
CL0,Ascore,-0.7609600000000001,0.1231951916189996
CL0,Ascore,-0.60633,0.1242233858914861
CL0,Ascore,-0.45321000000000006,0.12523145242090547
CL0,Ascore,-0.30172,0.1262186246032237
CL0,Ascore,-0.15487,0.1271656572810942
CL0,Ascore,-0.01729,0.12804385340663665
CL0,Ascore,0.13136,0.12898265169681972
CL0,Ascore,0.28783000000000003,0.12995931663962026
CL0,Ascore,0.43851999999999997,0.13088851508089588
CL0,Ascore,0.59042,0.13181365978409873
CL0,Ascore,0.7609600000000001,0.13283831876875446
CL0,Ascore,0.9415600000000001,0.13390699420533583
CL0,Ascore,1.11406,0.13491171641525043
CL0,Ascore,1.2861,0.13589795117340084
CL0,Ascore,1.45039,0.13682484756692825
CL0,Ascore,1.6110799999999998,0.1377171985405489
CL0,Ascore,1.81866,0.1388489083805854
CL0,Ascore,2.03972,0.14002781527448405
CL0,Ascore,2.23427,0.14104274373745582
CL0,Ascore,2.4626200000000003,0.1422068565850705
CL0,Ascore,2.75696,0.14366396932963438
CL0,Ascore,3.15735,0.14556744954510212
CL0,Ascore,3.4643599999999997,0.14696572073727232
CL0,Cscore,-3.4643599999999997,0.07401556915592389
CL0,Cscore,-3.15735,0.07844059195469592
CL0,Cscore,-2.90161,0.0822330427933971
CL0,Cscore,-2.72827,0.08485559736813353
CL0,Cscore,-2.57309,0.08723737523243535
CL0,Cscore,-2.4231700000000003,0.08956761312554222
CL0,Cscore,-2.30408,0.09143827874788797
CL0,Cscore,-2.18109,0.09338772494745935
CL0,Cscore,-2.04506,0.09556376030151144
CL0,Cscore,-1.92173,0.09755392832272224
CL0,Cscore,-1.7816900000000002,0.09983274081285565
CL0,Cscore,-1.6410099999999999,0.10214128116369511
CL0,Cscore,-1.5184,0.10416824094298684
CL0,Cscore,-1.3850200000000001,0.10638817796792599
CL0,Cscore,-1.25773,0.10852043950644305
CL0,Cscore,-1.13788,0.11053955880309316
CL0,Cscore,-1.0145,0.11262906921947877
CL0,Cscore,-0.89891,0.11459606784555393
CL0,Cscore,-0.78155,0.1166018849859938
CL0,Cscore,-0.65253,0.11881637057225317
CL0,Cscore,-0.52745,0.1209718740386987
CL0,Cscore,-0.40581,0.12307555769598628
CL0,Cscore,-0.27607,0.1253266810940348
CL0,Cscore,-0.14277,0.12764666526772267
CL0,Cscore,-0.00665,0.1300222722817441
CL0,Cscore,0.12330999999999999,0.13229573098655042
CL0,Cscore,0.25953000000000004,0.13468347449928209
CL0,Cscore,0.41594,0.13743005138100461
CL0,Cscore,0.5848899999999999,0.14040134559589693
CL0,Cscore,0.7583,0.14345434579160263
CL0,Cscore,0.9394899999999999,0.14664607857041456
CL0,Cscore,1.1340700000000001,0.15007362392887985
CL0,Cscore,1.3061200000000002,0.15310253052562425
CL0,Cscore,1.46191,0.15584245996930948
CL0,Cscore,1.6308799999999999,0.1588099868060458
CL0,Cscore,1.81175,0.16198020499045238
CL0,Cscore,2.04506,0.16605747008968666
CL0,Cscore,2.33337,0.17107260997710463
CL0,Cscore,2.63199,0.17623416256087876
CL0,Cscore,3.00537,0.18263162784615697
CL0,Cscore,3.4643599999999997,0.19039493068337965
CL0,Impulsive,-2.55524,0.15481065932865132
CL0,Impulsive,-1.37983,0.14418818018631985
CL0,Impulsive,-0.71126,0.1373052519867092
CL0,Impulsive,-0.21711999999999998,0.13184798053522134
CL0,Impulsive,0.19268,0.12710452560225027
CL0,Impulsive,0.52975,0.12307096173343553
CL0,Impulsive,0.88113,0.11875621010582003
CL0,Impulsive,1.29221,0.11359159069088677
CL0,Impulsive,1.8620299999999999,0.10628767339827315
CL0,Impulsive,2.90161,0.09285004740980461
CL0,SS,-2.07848,0.17136282000227224
CL0,SS,-1.5485799999999998,0.16083908129042485
CL0,SS,-1.18084,0.15353716249327393
CL0,SS,-0.8463700000000001,0.14692437321127147
CL0,SS,-0.52593,0.1406348295604397
CL0,SS,-0.21575,0.13460703380453873
CL0,SS,0.07987000000000001,0.1289324944243273
CL0,SS,0.40148,0.12285301206132809
CL0,SS,0.7654,0.11611190109074146
CL0,SS,1.2247,0.10784614314365126
CL0,SS,1.92173,0.0958989613406883
CL1,Age,-0.9519700000000001,0.027962404822328008
CL1,Age,-0.07854,0.08680116234834778
CL1,Age,0.49788000000000004,0.16576927183220477
CL1,Age,1.09449,0.28354802950179897
CL1,Age,1.82213,0.4402282456088315
CL1,Age,2.59171,0.5639239942132344
CL1,Gender,-0.48246000000000006,0.10099212501016284
CL1,Gender,0.48246000000000006,0.09752808061059293
CL1,Education,-2.43591,0.044124572486790144
CL1,Education,-1.7379,0.057012778453514025
CL1,Education,-1.43719,0.06345071017826426
CL1,Education,-1.22751,0.06827659026848244
CL1,Education,-0.6111300000000001,0.08414616055448644
CL1,Education,-0.059210000000000006,0.10058542616121856
CL1,Education,0.45468000000000003,0.1178448865663343
CL1,Education,1.16365,0.14473442964468103
CL1,Education,1.98437,0.18004825232614635
CL1,Country,-0.57009,0.057852513364936575
CL1,Country,-0.46841000000000005,0.06309245915203816
CL1,Country,-0.28519,0.07323736952320725
CL1,Country,-0.09765,0.08444519322787629
CL1,Country,0.21128000000000002,0.10426543238689356
CL1,Country,0.24923,0.10678163870014383
CL1,Country,0.9608200000000001,0.15442226423280353
CL1,Ethnicity,-1.1070200000000001,0.054676373750871414
CL1,Ethnicity,-0.50212,0.0877194914133276
CL1,Ethnicity,-0.31685,0.09883131828265636
CL1,Ethnicity,-0.22166,0.10445433250828755
CL1,Ethnicity,0.1144,0.12263438097483272
CL1,Ethnicity,0.126,0.12319327035137048
CL1,Ethnicity,1.90725,0.1490807132171281
CL1,Nscore,-3.4643599999999997,0.08369148596444183
CL1,Nscore,-3.15735,0.08613583536459052
CL1,Nscore,-2.75696,0.08925507601678248
CL1,Nscore,-2.52197,0.09101527760130718
CL1,Nscore,-2.4231700000000003,0.09173344789553513
CL1,Nscore,-2.3436,0.09230081942387999
CL1,Nscore,-2.21844,0.09317122578762636
CL1,Nscore,-2.05048,0.09429179312878547
CL1,Nscore,-1.86962,0.09542915905429408
CL1,Nscore,-1.69163,0.09646889011374192
CL1,Nscore,-1.5507799999999998,0.09722947162045872
CL1,Nscore,-1.43907,0.0977903160379915
CL1,Nscore,-1.32828,0.09830713554223781
CL1,Nscore,-1.1943,0.09887671013735008
CL1,Nscore,-1.05308,0.09940769354630843
CL1,Nscore,-0.92104,0.09983633464612779
CL1,Nscore,-0.79151,0.10019017172489812
CL1,Nscore,-0.67825,0.1004434007233962
CL1,Nscore,-0.58016,0.10061907693935765
CL1,Nscore,-0.46725,0.1007698765453745
CL1,Nscore,-0.34799,0.100868063900832
CL1,Nscore,-0.24649000000000001,0.10090124690859245
CL1,Nscore,-0.14882,0.10088878607803514
CL1,Nscore,-0.051879999999999996,0.10083289688289399
CL1,Nscore,0.04257,0.10073640875347874
CL1,Nscore,0.13606,0.1005998296155769
CL1,Nscore,0.22393000000000002,0.10043411248241235
CL1,Nscore,0.31287,0.10022951721836734
CL1,Nscore,0.41667,0.09994395789674328
CL1,Nscore,0.52135,0.09960522601131666
CL1,Nscore,0.62967,0.09920154824497229
CL1,Nscore,0.73545,0.09875580896851817
CL1,Nscore,0.82562,0.09833626886214454
CL1,Nscore,0.9109299999999999,0.09790638880097242
CL1,Nscore,1.02119,0.09730430690479547
CL1,Nscore,1.13281,0.09664280464388458
CL1,Nscore,1.23461,0.09599532382933353
CL1,Nscore,1.37297,0.09505040974368696
CL1,Nscore,1.49158,0.09418358532097397
CL1,Nscore,1.6038299999999999,0.09331755478554486
CL1,Nscore,1.72012,0.0923761884686299
CL1,Nscore,1.8399,0.09136261730354925
CL1,Nscore,1.98437,0.09008548534828169
CL1,Nscore,2.127,0.08877164114675093
CL1,Nscore,2.28554,0.08725689512890443
CL1,Nscore,2.4626200000000003,0.08550752610157383
CL1,Nscore,2.61139,0.08399942765819202
CL1,Nscore,2.82196,0.08181954421635389
CL1,Nscore,3.27393,0.07704618583692484
CL1,Escore,-3.27393,0.06841357425383923
CL1,Escore,-3.00537,0.07102762869875506
CL1,Escore,-2.72827,0.07376746503221421
CL1,Escore,-2.5383,0.07566741283782617
CL1,Escore,-2.44904,0.07656543502889754
CL1,Escore,-2.32338,0.07783479107168233
CL1,Escore,-2.21069,0.07897770840881024
CL1,Escore,-2.11437,0.07995762712057301
CL1,Escore,-2.03972,0.0807187841059529
CL1,Escore,-1.92173,0.0819244724990841
CL1,Escore,-1.7625,0.08355569532026573
CL1,Escore,-1.6334,0.08488077047283589
CL1,Escore,-1.50796,0.08616959292542105
CL1,Escore,-1.37639,0.08752194475516968
CL1,Escore,-1.23177,0.08900803558392484
CL1,Escore,-1.09207,0.09044209789583696
CL1,Escore,-0.9477899999999999,0.09192051175434214
CL1,Escore,-0.80615,0.09336811980863186
CL1,Escore,-0.69509,0.09449986745087277
CL1,Escore,-0.57545,0.09571512136430646
CL1,Escore,-0.43998999999999994,0.09708534727718793
CL1,Escore,-0.30033000000000004,0.09849074523981616
CL1,Escore,-0.15487,0.09994554036395047
CL1,Escore,0.0033200000000000005,0.10151598129744467
CL1,Escore,0.16767,0.10313323950406368
CL1,Escore,0.32197,0.10463697215184707
CL1,Escore,0.47617,0.10612434373815176
CL1,Escore,0.63779,0.10766551893700133
CL1,Escore,0.80523,0.10924168435451709
CL1,Escore,0.9624799999999999,0.11070175203934624
CL1,Escore,1.11406,0.11208968691200978
CL1,Escore,1.2861,0.11364068193764165
CL1,Escore,1.45421,0.1151302388915019
CL1,Escore,1.58487,0.11626957037201081
CL1,Escore,1.74091,0.1176084873885423
CL1,Escore,1.9388599999999998,0.11927203935495408
CL1,Escore,2.127,0.12081593155054138
CL1,Escore,2.32338,0.1223878627434922
CL1,Escore,2.57309,0.12432719048499527
CL1,Escore,2.8595,0.12646837289068366
CL1,Escore,3.00537,0.12752449457667817
CL1,Escore,3.27393,0.12940817488269635
CL1,Oscore,-3.27393,0.08534809971800943
CL1,Oscore,-2.8595,0.0878066574472984
CL1,Oscore,-2.63199,0.08910057270858032
CL1,Oscore,-2.39883,0.09038015576851015
CL1,Oscore,-2.21069,0.09137560949701488
CL1,Oscore,-2.09015,0.09199497725449671
CL1,Oscore,-1.97495,0.0925729247631651
CL1,Oscore,-1.82919,0.0932839637610707
CL1,Oscore,-1.68062,0.09398471897824674
CL1,Oscore,-1.55521,0.09455683212889993
CL1,Oscore,-1.42424,0.09513486913396506
CL1,Oscore,-1.2755299999999998,0.09576658471925446
CL1,Oscore,-1.1190200000000001,0.0964025662086378
CL1,Oscore,-0.97631,0.09695618745820314
CL1,Oscore,-0.8473200000000001,0.09743468978606903
CL1,Oscore,-0.71727,0.09789583378571637
CL1,Oscore,-0.58331,0.09834828452537799
CL1,Oscore,-0.45174,0.0987702185378151
CL1,Oscore,-0.31776,0.09917690215174829
CL1,Oscore,-0.17779,0.09957691760660285
CL1,Oscore,-0.019280000000000002,0.09999921059144685
CL1,Oscore,0.14143,0.100394092402793
CL1,Oscore,0.29338000000000003,0.10073673390509108
CL1,Oscore,0.44585,0.10105070065572848
CL1,Oscore,0.58331,0.10130831418765208
CL1,Oscore,0.7233,0.10154609090611699
CL1,Oscore,0.8830899999999999,0.10178751514088569
CL1,Oscore,1.0623799999999999,0.10202088080542822
CL1,Oscore,1.24033,0.10221395070410282
CL1,Oscore,1.43533,0.10238235209328221
CL1,Oscore,1.6565299999999998,0.10252014394685857
CL1,Oscore,1.8851099999999998,0.1026049457100468
CL1,Oscore,2.1532400000000003,0.10263272109207248
CL1,Oscore,2.44904,0.10257784194195879
CL1,Oscore,2.90161,0.10233205177203421
CL1,Ascore,-3.4643599999999997,0.0821794670684711
CL1,Ascore,-3.15735,0.08395937179209491
CL1,Ascore,-3.00537,0.08483632151207648
CL1,Ascore,-2.90161,0.08543320796788127
CL1,Ascore,-2.78793,0.08608531227188193
CL1,Ascore,-2.70172,0.08657846862013363
CL1,Ascore,-2.5383,0.08750981773356761
CL1,Ascore,-2.35413,0.08855353134128595
CL1,Ascore,-2.21844,0.08931818752911978
CL1,Ascore,-2.07848,0.09010280454210934
CL1,Ascore,-1.92595,0.09095286508174558
CL1,Ascore,-1.772,0.09180522337454891
CL1,Ascore,-1.6209,0.09263602019825046
CL1,Ascore,-1.47955,0.09340777051949982
CL1,Ascore,-1.34289,0.09414869951909269
CL1,Ascore,-1.21213,0.09485265629849338
CL1,Ascore,-1.07533,0.09558372695923886
CL1,Ascore,-0.91699,0.09642276890222551
CL1,Ascore,-0.7609600000000001,0.09724181591467618
CL1,Ascore,-0.60633,0.09804566572123362
CL1,Ascore,-0.45321000000000006,0.09883373080324141
CL1,Ascore,-0.30172,0.09960541756389008
CL1,Ascore,-0.15487,0.10034568853024463
CL1,Ascore,-0.01729,0.10103212084733107
CL1,Ascore,0.13136,0.10176589215677823
CL1,Ascore,0.28783000000000003,0.10252923084688603
CL1,Ascore,0.43851999999999997,0.10325544658923151
CL1,Ascore,0.59042,0.10397847452901487
CL1,Ascore,0.7609600000000001,0.10477925804913463
CL1,Ascore,0.9415600000000001,0.10561442762908332
CL1,Ascore,1.11406,0.10639961233174344
CL1,Ascore,1.2861,0.10717035129510337
CL1,Ascore,1.45039,0.1078947263731192
CL1,Ascore,1.6110799999999998,0.10859211887465668
CL1,Ascore,1.81866,0.10947660799995128
CL1,Ascore,2.03972,0.11039803875676471
CL1,Ascore,2.23427,0.11119136483579073
CL1,Ascore,2.4626200000000003,0.11210139157092601
CL1,Ascore,2.75696,0.1132406405387866
CL1,Ascore,3.15735,0.11472927334097063
CL1,Ascore,3.4643599999999997,0.11582317520566364
CL1,Cscore,-3.4643599999999997,0.2345345099078629
CL1,Cscore,-3.15735,0.21939537226279873
CL1,Cscore,-2.90161,0.2071055989214359
CL1,Cscore,-2.72827,0.19896024546763844
CL1,Cscore,-2.57309,0.19180396868720131
CL1,Cscore,-2.4231700000000003,0.18501816629590395
CL1,Cscore,-2.30408,0.17972088218939294
CL1,Cscore,-2.18109,0.17433934538489673
CL1,Cscore,-2.04506,0.16849565539279654
CL1,Cscore,-1.92173,0.163298323111996
CL1,Cscore,-1.7816900000000002,0.15751552536746083
CL1,Cscore,-1.6410099999999999,0.15183579832059463
CL1,Cscore,-1.5184,0.14699314088062598
CL1,Cscore,-1.3850200000000001,0.14184027727290205
CL1,Cscore,-1.25773,0.1370357104089833
CL1,Cscore,-1.13788,0.13261362141834648
CL1,Cscore,-1.0145,0.12816482671576676
CL1,Cscore,-0.89891,0.12409254209674536
CL1,Cscore,-0.78155,0.12005269183139802
CL1,Cscore,-0.65253,0.1157216873362434
CL1,Cscore,-0.52745,0.11163295492431932
CL1,Cscore,-0.40581,0.10776020824267091
CL1,Cscore,-0.27607,0.10374154019368288
CL1,Cscore,-0.14277,0.09973218347064715
CL1,Cscore,-0.00665,0.09576202911219447
CL1,Cscore,0.12330999999999999,0.09208731699650122
CL1,Cscore,0.25953000000000004,0.08835559571076286
CL1,Cscore,0.41594,0.08422017042026964
CL1,Cscore,0.5848899999999999,0.07992961822366094
CL1,Cscore,0.7583,0.07571254091512766
CL1,Cscore,0.9394899999999999,0.07150370393610975
CL1,Cscore,1.1340700000000001,0.06720260970601198
CL1,Cscore,1.3061200000000002,0.06358292642540284
CL1,Cscore,1.46191,0.060449539605070164
CL1,Cscore,1.6308799999999999,0.057201501235265545
CL1,Cscore,1.81175,0.0538927857282973
CL1,Cscore,2.04506,0.04987179367682278
CL1,Cscore,2.33337,0.045269090443413595
CL1,Cscore,2.63199,0.04090369685167304
CL1,Cscore,3.00537,0.035979519895573873
CL1,Cscore,3.4643599999999997,0.030667494545364164
CL1,Impulsive,-2.55524,0.07601809683027871
CL1,Impulsive,-1.37983,0.08674538900841593
CL1,Impulsive,-0.71126,0.09276696384046644
CL1,Impulsive,-0.21711999999999998,0.09707612117796938
CL1,Impulsive,0.19268,0.10051088125003124
CL1,Impulsive,0.52975,0.10321654211578554
CL1,Impulsive,0.88113,0.10590217831540526
CL1,Impulsive,1.29221,0.10884600789754605
CL1,Impulsive,1.8620299999999999,0.1125320007385889
CL1,Impulsive,2.90161,0.11796488756010136
CL1,SS,-2.07848,0.14299155550357728
CL1,SS,-1.5485799999999998,0.1324714643556573
CL1,SS,-1.18084,0.12531103469767416
CL1,SS,-0.8463700000000001,0.11892053879628436
CL1,SS,-0.52593,0.11292293019467547
CL1,SS,-0.21575,0.10724670807894039
CL1,SS,0.07987000000000001,0.10196598077177388
CL1,SS,0.40148,0.09637481408828949
CL1,SS,0.7654,0.09025421659660274
CL1,SS,1.2247,0.08286123716207933
CL1,SS,1.92173,0.0723912167282152
CL2,Age,-0.9519700000000001,0.14781625602303153
CL2,Age,-0.07854,0.1718162508387899
CL2,Age,0.49788000000000004,0.17824639362111505
CL2,Age,1.09449,0.1723733164264295
CL2,Age,1.82213,0.1527810717834081
CL2,Age,2.59171,0.13307614261145248
CL2,Gender,-0.48246000000000006,0.16207358249891854
CL2,Gender,0.48246000000000006,0.18606260117974063
CL2,Education,-2.43591,0.15069722572775254
CL2,Education,-1.7379,0.15896439202731213
CL2,Education,-1.43719,0.16222554066400954
CL2,Education,-1.22751,0.16437274272187
CL2,Education,-0.6111300000000001,0.1700043404541987
CL2,Education,-0.059210000000000006,0.17408351289551374
CL2,Education,0.45468000000000003,0.176981791968948
CL2,Education,1.16365,0.17947730395836106
CL2,Education,1.98437,0.18017118946449073
CL2,Country,-0.57009,0.15074108651075288
CL2,Country,-0.46841000000000005,0.15510677143141907
CL2,Country,-0.28519,0.16223413498804598
CL2,Country,-0.09765,0.16829271765044718
CL2,Country,0.21128000000000002,0.1749781403411046
CL2,Country,0.24923,0.17549516576901106
CL2,Country,0.9608200000000001,0.17340456498677112
CL2,Ethnicity,-1.1070200000000001,0.16465558314237974
CL2,Ethnicity,-0.50212,0.17550703504260012
CL2,Ethnicity,-0.31685,0.1744189922154391
CL2,Ethnicity,-0.22166,0.17282934317093185
CL2,Ethnicity,0.1144,0.1615981456837531
CL2,Ethnicity,0.126,0.16106451849192732
CL2,Ethnicity,1.90725,0.0590619762134029
CL2,Nscore,-3.4643599999999997,0.22210249054096487
CL2,Nscore,-3.15735,0.2211024557314518
CL2,Nscore,-2.75696,0.2192377796366511
CL2,Nscore,-2.52197,0.2177884405512888
CL2,Nscore,-2.4231700000000003,0.2170909994078683
CL2,Nscore,-2.3436,0.2164892121528926
CL2,Nscore,-2.21844,0.21546751764573766
CL2,Nscore,-2.05048,0.21394611475835365
CL2,Nscore,-1.86962,0.21210632188390413
CL2,Nscore,-1.69163,0.21008298164269634
CL2,Nscore,-1.5507799999999998,0.20832746101798208
CL2,Nscore,-1.43907,0.2068360930970315
CL2,Nscore,-1.32828,0.20526933569341582
CL2,Nscore,-1.1943,0.20325699130346297
CL2,Nscore,-1.05308,0.2009958370279057
CL2,Nscore,-0.92104,0.19875166313301776
CL2,Nscore,-0.79151,0.19642876550021826
CL2,Nscore,-0.67825,0.19430014079617552
CL2,Nscore,-0.58016,0.19238412354572684
CL2,Nscore,-0.46725,0.19009673741821936
CL2,Nscore,-0.34799,0.1875876101459723
CL2,Nscore,-0.24649000000000001,0.18537878590606904
CL2,Nscore,-0.14882,0.18319151900261482
CL2,Nscore,-0.051879999999999996,0.18096258666161003
CL2,Nscore,0.04257,0.17873728244602172
CL2,Nscore,0.13606,0.17648451538762847
CL2,Nscore,0.22393000000000002,0.1743236715387074
